mileage,curvature_simulation
641432.5,0
641432.75,0
641433,0
641433.25,0
641433.5,0
641433.75,0
641434,0
641434.25,0
641434.5,0
641434.75,0
641435,0
641435.25,0
641435.5,0
641435.75,0
641436,0
641436.25,0
641436.5,0
641436.75,0
641437,0
641437.25,0
641437.5,0
641437.75,0
641438,0
641438.25,0
641438.5,0
641438.75,0
641439,0
641439.25,0
641439.5,0
641439.75,0
641440,0
641440.25,0
641440.5,0
641440.75,0
641441,0
641441.25,0
641441.5,0
641441.75,0
641442,0
641442.25,0
641442.5,0
641442.75,0
641443,0
641443.25,0
641443.5,0
641443.75,0
641444,0
641444.25,0
641444.5,0
641444.75,0
641445,0
641445.25,0
641445.5,0
641445.75,0
641446,0
641446.25,0
641446.5,0
641446.75,0
641447,0
641447.25,0
641447.5,0
641447.75,0
641448,0
641448.25,0
641448.5,0
641448.75,0
641449,0
641449.25,0
641449.5,0
641449.75,0
641450,0
641450.25,0
641450.5,0
641450.75,0
641451,0
641451.25,0
641451.5,0
641451.75,0
641452,0
641452.25,0
641452.5,0
641452.75,0
641453,0
641453.25,0
641453.5,0
641453.75,0
641454,0
641454.25,0
641454.5,0
641454.75,0
641455,0
641455.25,0
641455.5,0
641455.75,0
641456,0
641456.25,0
641456.5,0
641456.75,0
641457,0
641457.25,0
641457.5,0
641457.75,0
641458,0
641458.25,0
641458.5,0
641458.75,0
641459,0
641459.25,0
641459.5,0
641459.75,0
641460,0
641460.25,0
641460.5,0
641460.75,0
641461,0
641461.25,0
641461.5,0
641461.75,0
641462,0
641462.25,0
641462.5,0
641462.75,0
641463,0
641463.25,0
641463.5,0
641463.75,0
641464,0
641464.25,0
641464.5,0
641464.75,0
641465,0
641465.25,0
641465.5,0
641465.75,0
641466,0
641466.25,0
641466.5,0
641466.75,0
641467,0
641467.25,0
641467.5,0
641467.75,0
641468,0
641468.25,0
641468.5,0
641468.75,0
641469,0
641469.25,0
641469.5,0
641469.75,0
641470,0
641470.25,0
641470.5,0
641470.75,0
641471,0
641471.25,0
641471.5,0
641471.75,0
641472,0
641472.25,0
641472.5,0
641472.75,0
641473,0
641473.25,0
641473.5,0
641473.75,0
641474,0
641474.25,0
641474.5,0
641474.75,0
641475,0
641475.25,0
641475.5,0
641475.75,0
641476,0
641476.25,0
641476.5,0
641476.75,0
641477,0
641477.25,0
641477.5,0
641477.75,0
641478,0
641478.25,0
641478.5,0
641478.75,0
641479,0
641479.25,0
641479.5,0
641479.75,0
641480,0
641480.25,0
641480.5,0
641480.75,0
641481,0
641481.25,0
641481.5,0
641481.75,0
641482,0
641482.25,0
641482.5,0
641482.75,0
641483,0
641483.25,0
641483.5,0
641483.75,0
641484,0
641484.25,0
641484.5,0
641484.75,0
641485,0
641485.25,0
641485.5,0
641485.75,0
641486,0
641486.25,0
641486.5,0
641486.75,0
641487,0
641487.25,0
641487.5,0
641487.75,0
641488,0
641488.25,0
641488.5,0
641488.75,0
641489,0
641489.25,0
641489.5,0
641489.75,0
641490,0
641490.25,0
641490.5,0
641490.75,0
641491,0
641491.25,0
641491.5,0
641491.75,0
641492,0
641492.25,0
641492.5,0
641492.75,0
641493,0
641493.25,0
641493.5,0
641493.75,0
641494,0
641494.25,0
641494.5,0
641494.75,0
641495,0
641495.25,0
641495.5,-8.69858113935478E-7
641495.75,-1.73971622787096E-6
641496,-2.60957434180643E-6
641496.25,-3.47943245574191E-6
641496.5,-4.34929056967739E-6
641496.75,-5.21914868361287E-6
641497,-6.08900679754835E-6
641497.25,-6.95886491148383E-6
641497.5,-7.8287230254193E-6
641497.75,-8.69858113935478E-6
641498,-9.56843925329026E-6
641498.25,-1.04382973672257E-5
641498.5,-1.13081554811612E-5
641498.75,-1.21780135950967E-5
641499,-1.30478717090322E-5
641499.25,-1.39177298229677E-5
641499.5,-1.47875879369031E-5
641499.75,-1.56574460508386E-5
641500,-1.65273041647741E-5
641500.25,-1.73971622787096E-5
641500.5,-1.8267020392645E-5
641500.75,-1.91368785065805E-5
641501,-2.0006736620516E-5
641501.25,-2.08765947344515E-5
641501.5,-2.1746452848387E-5
641501.75,-2.26163109623224E-5
641502,-2.34861690762579E-5
641502.25,-2.43560271901934E-5
641502.5,-2.52258853041289E-5
641502.75,-2.60957434180643E-5
641503,-2.69656015319998E-5
